ID	µØÍ¼±àºÅ »»ËãºóX×ø±ê  »»ËãºóY×ø±ê  »»ËãºóZ×ø±ê
a01	a01	366.544	238.659	-10.751
a02	a02	1672.963	244.077	1932.442
a05	a05	32.171	218.783	4517.631
a06	a06	-293.351	301.508	711.519
a07	a07	-1177.922	298.01	-1027.744
a08	a08	1672.963	244.077	1932.442
a09	a09	-2778.258	299.99	89.014
a10	a10	-812.031	530.681	254.381
a11	a11	426.921	248.899	-1415.44
a12	a12	2807.491	257.392	-856.728
a13	a13	-2591.581	224.853	1902.705
a14	a14	1898.076	218.981	-1031.137
a15	a15	2746	224	-1883
a16	a16	-2378.853	255.592	4428.397
a17	a17	-2875.793	226.93	2077.162
a18	a18	2167.271	153.307	-2393.678
a19	a19	2746	224	-1883
a20	a20	2922.343	229.178	3487.432
a21	a21	-2778.454	382.378	3082.139
a22	a22	-2779.992	381.015	3108.936
a23	a23	-2778.454	382.378	3082.139
a24	a24	-2779.992	381.015	3108.936
a25	a25	-2778.454	382.378	3082.139
a26	a26	-2779.992	381.015	3108.936
a27	a27	449.402	570.432	-876.22
a28	a28	-2692	379	3073
a28	a28	1715	219	963
a28	a28	2616	263	-1745
a29	a29	-2833.54	246.537	4181.338
a31	a31	-2698.935	400.356	1190.42
a33	a33	1528.728	276.771	1030.316
19466    world    -2405.87    218.35    4259.83
7068    world    -2717.14    223.68    3977.23
7068    world    -2737.62    233.52    4457.05
7068    world    -2735.21    225.69    4319.04
7068    world    -2823.07    232.07    4336.99
7068    world    -2405.98    217.97    4169.61
7068    world    -2355.09    219.68    4158.82
7068    world    -3010.66    221.27    4162.39
7068    world    -3014.87    218.12    4057.83
7068    world    -2229.95    222.36    3612.52
7068    world    -2276.39    220.01    3612.42
7068    world    -2421.02    259.23    3767.76
7068    world    -2488.56    246.98    3769.99
7068    world    -2510.81    242.71    3656.07
7068    world    -2727.08    223.67    3610.88
7068    world    -2986.86    226.32    3856.54
7068    world    -3042.81    218.27    3856.44
7068    world    -2082.81    229.49    3767.17
7068    world    -2328.35    220.73    3612.32
7068    world    -2436.71    218.6    3608.41
7068    world    -2482.99    219.47    3611.68
7068    world    -2610.91    222.37    3612.7
